SimulationIndex,Time,Distance,Velocity,Max Velocity,Acceleration,Motor Power,Battery Power,Battery Energy
0,0.005,0.005,1.4580251514076283,100,91.60503028152567,285000.0,285000.0,1425.0
1,0.008429296123714208,0.01,1.702351285584843,100,71.2467297553148,285000.0,285000.0,2402.349395258549
2,0.011366410244835366,0.015,1.8866205647301284,100,62.738208849353775,285000.0,285000.0,3239.426919778079
3,0.014016651683667145,0.02,2.038646232722372,100,57.36295032020031,285000.0,285000.0,3994.7457298451363
4,0.01646925965445916,0.025,2.169865845263379,100,53.502073753202644,285000.0,285000.0,4693.73900152086
5,0.018773549576766822,0.03,2.286298205558483,100,50.52852037754928,285000.0,285000.0,5350.461629378544
6,0.02096049088995332,0.035,2.3915637059808885,100,48.13366494459222,285000.0,285000.0,5973.739903636696
7,0.023051173227829524,0.04,2.488035164890648,100,46.14352795832141,285000.0,285000.0,6569.584369931414
8,0.0250607911265459,0.045,2.5773643363791194,100,44.45082398277292,285000.0,285000.0,7142.325471065581
9,0.027000757443851428,0.05,2.6607537715475336,100,42.984991246773816,285000.0,285000.0,7695.215871497656
10,0.028879924187300943,0.055,2.7391099533108387,100,41.697301230155674,285000.0,285000.0,8230.778393380768
11,0.030705334661953982,0.06,2.8131354375546787,100,40.55278813819134,285000.0,285000.0,8751.020378656884
12,0.03248271087116567,0.065,2.8833872498256605,100,39.525572530387514,285000.0,285000.0,9257.572598282215
13,0.03421678249137636,0.07,2.950315484654767,100,38.5960037919165,285000.0,285000.0,9751.78301004226
14,0.035911516504062824,0.075,3.01428972199272,100,37.7488366074286,285000.0,285000.0,10234.782203657904
15,0.037570282071128,0.08,3.0756176430829036,100,36.972024442664164,285000.0,285000.0,10707.53039027148
16,0.03919597179600166,0.085,3.134558481382866,100,36.25589643469224,285000.0,285000.0,11170.851961860471
17,0.040791092777057385,0.09,3.191332953920146,100,35.5925808835539,285000.0,285000.0,11625.461441461353
18,0.042357836226329305,0.095,3.2461307337756087,100,34.97559213087985,285000.0,285000.0,12071.983324503852
19,0.04389813155330908,0.1,3.29911616681452,100,34.39952852600398,285000.0,285000.0,12510.967492693087
20,0.045413688977535144,0.105,3.350432710314737,100,33.8598476573212,285000.0,285000.0,12942.901358597517
21,0.04690603352891409,0.11,3.4002064250884114,100,33.35269641831898,285000.0,285000.0,13368.219555740518
22,0.04837653248542083,0.115,3.448548755797418,100,32.87478069610267,285000.0,285000.0,13787.311758344937
23,0.04982641774268866,0.12,3.4955587684914335,100,32.423264157193586,285000.0,285000.0,14200.529056666268
24,0.051256804221974726,0.125,3.541324969026104,100,31.995688715901018,285000.0,285000.0,14608.189203262797
25,0.05266870514711774,0.13,3.5859267941230426,100,31.58991137598462,285000.0,285000.0,15010.580966928555
26,0.054063044821924956,0.135,3.6294358440543393,100,31.204053587094783,285000.0,285000.0,15407.967774248611
27,0.05544066939357592,0.14,3.6719169094299624,100,30.83646027358043,285000.0,285000.0,15800.590777169135
28,0.05680235597944591,0.145,3.713428832449324,100,30.485666415549957,285000.0,285000.0,16188.671454142082
29,0.05814882045354816,0.15,3.754025233973415,100,30.150369582649606,285000.0,285000.0,16572.413829261222
30,0.05948072412717046,0.155,3.7937551310062925,100,29.82940720091762,285000.0,285000.0,16952.00637624358
31,0.060798679511041995,0.16,3.832663464035356,100,29.5217376135823,285000.0,285000.0,17327.623660646965
32,0.06210325530980925,0.165,3.8707915497390903,100,29.226424206062198,285000.0,285000.0,17699.427763295633
33,0.06339498077106201,0.17,3.908177471521972,100,28.942622023276897,285000.0,285000.0,18067.56951975267
34,0.06467434948868907,0.17500000000000002,3.9448564179572623,100,28.669566427512553,285000.0,285000.0,18432.18960427638
35,0.06594182274252909,0.18,3.9808609773476094,100,28.406563437346954,285000.0,285000.0,18793.419481620786
36,0.06719783244205178,0.185,4.016221395131248,100,28.15298145951942,285000.0,285000.0,19151.382245984754
37,0.06844278373036009,0.19,4.0509657996792505,100,27.908244181356267,285000.0,285000.0,19506.19336315262
38,0.06967705729554197,0.195,4.085120401079869,100,27.671824435116257,285000.0,285000.0,19857.961329229456
39,0.07090101142885914,0.2,4.118709666738985,100,27.443238880269327,285000.0,285000.0,20206.78825722485
40,0.07211498386308483,0.20500000000000002,4.151756477002312,100,27.222043377290966,285000.0,285000.0,20552.77040097917
41,0.07331929341922,0.21,4.184282263495646,100,27.007828948659,285000.0,285000.0,20895.998624477696
42,0.07451424148561141,0.215,4.216307132461039,100,26.800218240533034,285000.0,285000.0,21236.55882339925
43,0.07570011334999846,0.22,4.2478499750213805,100,26.598862413052636,285000.0,285000.0,21574.53230474956
44,0.07687717940209575,0.225,4.278928566019398,100,26.403438398925708,285000.0,285000.0,21909.996129597286
45,0.07804569622186856,0.23,4.309559652838374,100,26.213646479587,285000.0,285000.0,22243.023423232535
46,0.07920590756659537,0.23500000000000001,4.339759035412219,100,26.02920813617463,285000.0,285000.0,22573.683656479676
47,0.08035804526806686,0.24,4.369541638464721,100,25.849864139038452,285000.0,285000.0,22902.04290139905
48,0.08150233004978982,0.245,4.398921576876306,100,25.675372844990246,285000.0,285000.0,23228.164064190096
49,0.0826389722728027,0.25,4.427912214956837,100,25.505508675971857,285000.0,285000.0,23552.107097748765
50,0.0837681726176313,0.255,4.456526220301211,100,25.340060756638728,285000.0,285000.0,23873.929196024914
51,0.0848901227089879,0.26,4.484775612817744,100,25.178831691501827,285000.0,285000.0,24193.684972061543
52,0.08600500568902143,0.265,4.512671809445131,100,25.021636464974307,285000.0,285000.0,24511.4266213711
53,0.08711299674423952,0.27,4.540225665010104,100,24.868301449915904,285000.0,285000.0,24827.204072108256
54,0.0882142635906285,0.275,4.56744750962311,100,24.718663512177482,285000.0,285000.0,25141.065123329117
55,0.08930896692098218,0.28,4.594347182962043,100,24.57256920031637,285000.0,285000.0,25453.055572479912
56,0.09039726081800031,0.28500000000000003,4.620934065753159,100,24.42987401102092,285000.0,285000.0,25763.219333130077
57,0.09147929313632663,0.29,4.6472171087227565,100,24.29044172197408,285000.0,285000.0,26071.598543853077
58,0.09255520585635323,0.295,4.673204859262326,100,24.154143784941553,285000.0,285000.0,26378.233669060653
59,0.09362513541231737,0.3,4.698905486022897,100,24.020858772717585,285000.0,285000.0,26683.163592510435
60,0.09468921299695335,0.305,4.724326801630774,100,23.890471874353977,285000.0,285000.0,26986.42570413169
61,0.09574756484472859,0.31,4.74947628369618,100,23.762874433746106,285000.0,285000.0,27288.05598074763
62,0.09680031249548827,0.315,4.7743610942681824,100,23.637963527199584,285000.0,285000.0,27588.08906121414
63,0.09784757304015104,0.32,4.798988097873333,100,23.515641576166615,285000.0,285000.0,27886.558316443028
64,0.09888945934993701,0.325,4.823363878261339,100,23.3958159916828,285000.0,285000.0,28183.495914732026
65,0.09992608029046665,0.33,4.847494753968665,100,23.27839884750579,285000.0,285000.0,28478.932882782978
66,0.10095754092194159,0.335,4.8713867927999095,100,23.163306579215043,285000.0,285000.0,28772.899162753336
67,0.10198394268650486,0.34,4.895045825317043,100,23.050459706877337,285000.0,285000.0,29065.423665653867
68,0.10300538358377699,0.34500000000000003,4.918477457417883,100,22.939782579116834,285000.0,285000.0,29356.53432137642
69,0.1040219583354736,0.35000000000000003,4.9416870820774434,100,22.831203136635306,285000.0,285000.0,29646.25812560996
70,0.10503375853992888,0.355,4.964679890318883,100,22.72465269348126,285000.0,285000.0,29934.621183879713
71,0.10604087281727635,0.36,4.987460881474618,100,22.62006573448224,285000.0,285000.0,30221.648752923742
72,0.10704338694597297,0.365,5.010034872792619,100,22.517379727455037,285000.0,285000.0,30507.36527960228
73,0.10804138399129354,0.37,5.03240650843797,100,22.416534948923925,285000.0,285000.0,30791.794437518638
74,0.10903494442636896,0.375,5.0545802679353296,100,22.317474322210188,285000.0,285000.0,31074.959161515133
75,0.11002414624629424,0.38,5.076560474093909,100,22.220143266860997,285000.0,285000.0,31356.881680193837
76,0.11100906507578823,0.385,5.098351300453012,100,22.1244895584933,285000.0,285000.0,31637.583546599624
77,0.11198977427084815,0.39,5.119956778282918,100,22.03046319820239,285000.0,285000.0,31917.085667191703
78,0.11296634501480604,0.395,5.141380803172949,100,21.93801629076325,285000.0,285000.0,32195.408329219703
