# 4890fb05-d078-4475-95ce-49715aad1cdd
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; elev_m; air_den
0.0000000; 215.1833453; 5.9504891; -0.7652235; -0.0000818; 40.8294656; 3.4877337; 1533.1; 1
1.9987263; 216.5679771; 7.3919095; -0.7653899; -0.0000848; 40.9998453; 3.4708287; 1533.1; 1
3.9974525; 217.9528542; 8.8330964; -0.7655623; -0.0000877; 41.1686991; 3.4534812; 1533.0; 1
5.9961788; 219.3379863; 10.2740429; -0.7657406; -0.0000907; 41.3360244; 3.4062480; 1533.0; 1
7.9949051; 220.7233754; 11.7147339; -0.7659250; -0.0000939; 41.5004003; 3.3900345; 1532.9; 1
9.9936314; 222.1090367; 13.1551670; -0.7661158; -0.0000972; 41.6633500; 3.3733647; 1532.8; 1
11.9923576; 223.4949806; 14.5953340; -0.7663134; -0.0001006; 41.8248681; 3.3284794; 1532.8; 1
13.9910839; 224.8812085; 16.0352164; -0.7665181; -0.0001043; 41.9836282; 3.3129029; 1532.7; 1
15.9898102; 226.2677392; 17.4748127; -0.7667303; -0.0001081; 42.1410513; 3.2968526; 1533.1; 1
17.9885365; 227.6545847; 18.9141131; -0.7669504; -0.0001121; 42.2971301; 3.2541180; 1533.1; 1
19.9872627; 229.0417455; 20.3530953; -0.7671787; -0.0001164; 42.4506231; 3.2391302; 1533.1; 1
21.9859890; 230.4292444; 21.7917583; -0.7674156; -0.0001208; 42.6028599; 3.2236473; 1533.1; 1
23.9847153; 231.8170951; 23.2300911; -0.7676616; -0.0001254; 42.7538308; 3.1828903; 1533.1; 1
25.9834415; 233.2052976; 24.6680666; -0.7679171; -0.0001303; 42.9023717; 3.1684482; 1533.1; 1
27.9821678; 234.5938789; 26.1056850; -0.7681826; -0.0001354; 43.0497296; 3.1534852; 1533.1; 1 
